,,OCGT 400MW 500 hr ,,,OCGT 300MW 500 hr ,,,OCGT 299MW 500 hr ,,,OCGT 100MW 500 hr ,,
Reference plant size ,MW ,400,,,311,,,299,,,96,,
Average load factor (net of availability) ,% ,6%,,,6%,,,6%,,,6%,,
Efficiency (HHV) ,% ,34%,,,35%,,,35%,,,35%,,
Pre-development period ,Duration and % spend per years 1 & 2 ,2 years ,55.60%,44.40%,2 years ,55.60%,44.40%,2 years ,55.60%,44.40%,2 years ,55.60%,44.40%
,"% spend per years 3, 4, & 5 ",,,,,,,,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Construction period ,Duration and % spend per years 1 & 2 ,2 years ,50%,50%,2 years ,50%,50%,2 years ,50%,50%,2 years ,50%,50%
,"% spend per years 3, 4, & 5 ",,,,,,,,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Operating period ,Duration ,25 years ,,,25 years ,,,25 years ,,,25 years ,,
,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,
,,2018,2020,2025,2018,2020,2025,2018,2020,2025,2018,2020,2025
Pre-development £/kW ,High ,30,30,30,40,40,40,40,40,40,90,90,90
,Medium ,30,30,30,30,30,30,30,30,30,80,80,80
,Low ,20,20,20,30,30,30,30,30,30,70,70,70
Construction £/kW ,High ,400,400,400,600,700,700,600,700,700,800,800,800
,Medium ,300,300,300,400,400,400,400,400,400,600,600,600
,Low ,300,300,300,300,300,300,300,300,300,600,600,600
Infrastructure £'000s ,High ,"30,200","30,200","30,200","27,100","27,100","27,100","27,100","27,100","27,100","25,100","25,100","25,100"
,Medium ,"15,100","15,100","15,100","13,600","13,600","13,600","13,600","13,600","13,600","12,600","12,600","12,600"
,Low ,"7,600","7,600","7,600","6,800","6,800","6,800","6,800","6,800","6,800","6,300","6,300","6,300"
Fixed O&M £/MW/year ,Medium ,"5,200","5,200","5,200","6,300","6,300","6,300","6,400","6,400","6,400","9,900","9,900","9,900"
Variable O&M £/MWh ,Medium ,3,3,3,3,3,3,3,3,3,4,4,4
Insurance £/MWh/year ,Medium ,"1,300","1,300","1,300","1,600","1,600","1,600","1,600","1,600","1,600","2,500","2,500","2,500"
Connection and Use of System charges £/MW/year ,Medium ,"2,400","2,400","2,400","2,400","2,400","2,400","2,400","2,400","2,400","2,400","2,400","2,400"
