,,Offshore R2 ,,,Offshore R3 ,,,PV>5MW ,,,PV 1-5MW ground ,,
Reference plant size ,MW ,321,,,844,,,16,,,4,,
Average load factor (net of availability) ,% ,43%,,,48%,,,11%,,,11%,,
Efficiency (LHV) ,% ,0%,,,0%,,,0%,,,0%,,
Pre-development period ,Duration and % spend per years 1 & 2 ,5 years ,22.20%,22.20%,5 years ,22.20%,22.20%,1 years ,100%,,1 years ,100%,
,"% spend per years 3, 4, & 5 ",22.20%,22.20%,11.10%,22.20%,22.20%,11.10%,,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Construction period ,Duration and % spend per years 1 & 2 ,3 years ,33.30%,33.30%,3 years ,33.30%,33.30%,0 years ,100%,,0 years ,100%,
,"% spend per years 3, 4, & 5 ",33.30%,,,33.30%,,,,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Operating period ,Duration ,23 years ,,,22 years ,,,25 years ,,,25 years ,,
,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,
,,2018,2020,2025,2018,2020,2025,2018,2020,2025,2018,2020,2025
Pre-development £/kW ,High ,150,150,150,190,190,190,170,170,170,60,60,60
,Medium ,60,60,60,120,120,120,70,70,70,60,60,60
,Low ,20,20,20,60,60,60,10,10,10,60,60,60
Construction £/kW ,High ,"3,100","3,000","2,700","2,700","2,600","2,400",700,700,600,900,800,700
,Medium ,"2,200","2,100","1,900","2,400","2,300","2,100",700,600,600,700,700,600
,Low ,"1,700","1,600","1,500","2,100","2,000","1,800",600,600,500,600,600,500
Infrastructure £'000s ,High ,"97,400","97,400","97,400","372,400","372,400","372,400",400,400,400,300,300,300
,Medium ,"69,300","69,300","69,300","323,000","323,000","323,000",400,400,400,200,200,200
,Low ,"53,000","53,000","53,000","281,400","281,400","281,400",400,400,400,200,200,200
Fixed O&M £/MW/year ,Medium ,"30,900","30,000","28,600","48,600","47,300","45,400","5,600","5,400","5,100","8,300","8,000","7,500"
Variable O&M £/MWh ,Medium ,3,3,3,4,3,3,- ,- ,- ,- ,- ,- 
Insurance £/MWh/year ,Medium ,"1,400","1,400","1,300","3,300","3,300","3,100","2,000","1,900","1,800","1,200","1,100","1,100"
Connection and Use of System charges £/MW/year ,Medium ,"33,500","32,600","31,100","50,300","48,900","47,000","1,300","1,300","1,200","1,300","1,300","1,200"
