,,CCGT H Class ,,,CCGT F Class ,,,CCGT CHP mode ,,,OCGT 600MW 500 hr ,,
Reference plant size ,MW ,"1,200",,,"1,471",,,168,,,625,,
Average load factor (net of availability) ,% ,93%,,,93%,,,93%,,,6%,,
Efficiency (HHV) ,% ,54%,,,53%,,,34%,,,35%,,
Pre-development period ,Duration and % spend per years 1 & 2 ,2 years ,44%,44%,2 years ,44%,44%,2 years ,43.50%,43.50%,2 years ,55.60%,44.40%
,"% spend per years 3, 4, & 5 ",12%,,,12%,,,13%,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Construction period ,Duration and % spend per years 1 & 2 ,3 years ,40%,40%,3 years ,40%,40%,3 years ,40%,40%,2 years ,50%,50%
,"% spend per years 3, 4, & 5 ",20%,,,20%,,,20%,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Operating period ,Duration ,25 years ,,,25 years ,,,25 years ,,,25 years ,,
,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,
,,2018,2020,2025,2018,2020,2025,2018,2020,2025,2018,2020,2025
Pre-development £/kW ,High ,20,20,20,10,10,10,80,80,80,20,20,20
,Medium ,10,10,10,10,10,10,60,60,60,20,20,20
,Low ,10,10,10,10,10,10,30,30,30,20,20,20
Construction £/kW ,High ,600,600,600,500,600,600,800,800,900,300,300,300
,Medium ,500,500,500,500,500,500,700,700,700,300,300,300
,Low ,400,400,400,400,400,400,600,600,600,300,300,300
Infrastructure £'000s ,High ,"30,200","30,200","30,200","30,200","30,200","30,200","27,100","27,100","27,100","30,200","30,200","30,200"
,Medium ,"15,100","15,100","15,100","15,100","15,100","15,100","13,600","13,600","13,600","15,100","15,100","15,100"
,Low ,"7,600","7,600","7,600","7,600","7,600","7,600","6,800","6,800","6,800","7,600","7,600","7,600"
Fixed O&M £/MW/year ,Medium ,"12,200","12,200","12,200","11,400","11,400","11,400","28,200","28,200","28,200","4,600","4,600","4,600"
Variable O&M £/MWh ,Medium ,3,3,3,3,3,3,5,5,5,3,3,3
Insurance £/MWh/year ,Medium ,"2,100","2,100","2,100","1,900","1,900","1,900","2,900","2,900","2,900","1,200","1,200","1,200"
Connection and Use of System charges £/MW/year ,Medium ,"3,300","3,300","3,300","3,300","3,300","3,300","3,300","3,300","3,300","2,400","2,400","2,400"
