,,AD < 250kW ,,,Hydropower <100kW ,,,Hydropower 500-2000kW ,,
Reference plant size ,MW ,0.155,,,0.033,,,1.046,,
Average load factor (net of availability) ,% ,65%,,,60%,,,40%,,
Efficiency (LHV) ,% ,38%,,,100%,,,100%,,
Pre-development period ,Duration and % spend per years 1 & 2 ,0 years ,,,0 years ,,,0 years ,,
,"% spend per years 3, 4, & 5 ",,,,,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,
Construction period ,Duration and % spend per years 1 & 2 ,0 years ,100%,,0 years ,100%,,0 years ,100%,
,"% spend per years 3, 4, & 5 ",,,,,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,
Operating period ,Duration ,20 years ,,,35 years ,,,35 years ,,
,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,
,,2018,2020,2025,2018,2020,2025,2018,2020,2025
Pre-development £/kW ,High ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Medium ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Low ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Construction £/kW ,High ,"7,900","7,700","7,300","7,800","7,800","7,800","4,100","4,100","4,100"
,Medium ,"5,800","5,700","5,400","6,300","6,300","6,300","3,300","3,300","3,300"
,Low ,"3,700","3,600","3,400","4,800","4,800","4,800","2,500","2,500","2,500"
Infrastructure £'000s ,High ,100,100,100,- ,- ,- ,400,400,400
,Medium ,100,100,100,- ,- ,- ,400,400,400
,Low ,100,100,100,- ,- ,- ,400,400,400
Fixed O&M £/MW/year ,Medium ,"758,700","758,700","758,700","83,300","83,300","83,300","18,200","18,200","18,200"
Variable O&M £/MWh ,Medium ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Insurance £/MWh/year ,Medium ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Connection and Use of System charges £/MW/year ,Medium ,- ,- ,- ,- ,- ,- ,- ,- ,- 
