year,europe_demand,CIS_demand,northamerica_demand,asia_demand,africa_demand,middle_east,pacific_demand,latam_demand,uk_price
Source,https://yearbook.enerdata.net/natural-gas/gas-consumption-data.html,https://yearbook.enerdata.net/natural-gas/gas-consumption-data.html,https://yearbook.enerdata.net/natural-gas/gas-consumption-data.html,https://yearbook.enerdata.net/natural-gas/gas-consumption-data.html,https://yearbook.enerdata.net/natural-gas/gas-consumption-data.html,https://yearbook.enerdata.net/natural-gas/gas-consumption-data.html,https://yearbook.enerdata.net/natural-gas/gas-consumption-data.html,https://yearbook.enerdata.net/natural-gas/gas-consumption-data.html,https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/energy-economics/statistical-review/bp-stats-review-2018-full-report.pdf
1996,469,704,707,226,46,137,26,107,1.866
1997,466,716,729,246,48,148,26,115,1.957
1998,477,679,713,255,50,157,27,125,1.865
1999,494,651,722,274,55,168,28,126,1.579
2000,508,567,753,286,57,174,29,135,2.711
2001,523,575,717,302,64,187,30,137,3.175
2002,524,580,743,321,69,202,32,146,2.373
2003,547,608,726,345,76,215,31,159,3.332
2004,561,617,726,370,79,236,32,172,4.457
2005,574,624,722,392,89,256,31,177,7.383
2006,571,633,712,424,95,279,33,186,7.872
2007,571,644,753,455,102,303,37,193,6.006
2008,586,650,759,478,103,334,37,207,10.79
2009,548,599,743,498,101,345,38,202,4.85
2010,596,655,779,552,106,376,40,222,6.556
2011,550,674,797,595,116,396,40,221,9.042
2012,536,666,832,620,122,411,41,231,9.464
2013,529,651,851,645,122,425,43,233,10.64
2014,482,645,867,663,123,451,44,240,8.253
2015,498,618,881,663,129,477,45,242,6.526
2016,528,607,899,692,131,491,48,240,4.69
2017,553,647,897,740,142,515,49,238,5.805
