year,demand,production,price
units,Billion cubic metres,Billion cubic metres,US dollars per million Btu
source,BP Statistical Review of World Energy June 2018,BP Statistical Review of World Energy June 2019,BP Statistical Review of World Energy June 2020
1965,630.6370076,,
1966,687.1686791,,
1967,737.7525476,,
1968,804.6478672,,
1969,883.5591838,,
1970,961.4414364,975.8013917,
1971,1028.989468,1043.946161,
1972,1085.855694,1095.453794,
1973,1137.403922,1148.220409,
1974,1165.260482,1172.532774,
1975,1165.759717,1175.214205,
1976,1235.085663,1226.169528,
1977,1275.689778,1278.286732,
1978,1329.168232,1322.073586,
1979,1412.19509,1411.173882,
1980,1423.831962,1429.551672,
1981,1439.589609,1454.370746,
1982,1447.322634,1457.759711,
1983,1470.611331,1469.878328,
1984,1591.238739,1597.005214,
1985,1626.314014,1639.449801,
1986,1642.136448,1682.964104,
1987,1728.917958,1768.219678,
1988,1808.352241,1846.320838,
1989,1890.285595,1909.159154,
1990,1948.664542,1976.277409,
1991,1998.458677,2003.751152,
1992,2007.692098,2012.538729,
1993,2027.509431,2031.47281,
1994,2040.536342,2056.950838,
1995,2112.178818,2093.589993,
1996,2214.341796,2191.935703,1.87
1997,2208.205319,2192.749234,1.96
1998,2248.593806,2249.683017,1.86
1999,2310.757158,2314.303907,1.58
2000,2401.989227,2405.523898,2.71
2001,2436.711133,2464.455142,3.17
2002,2510.812839,2520.065774,2.37
2003,2576.917552,2613.28735,3.33
2004,2675.216794,2699.547449,4.46
2005,2753.709099,2764.900362,7.38
2006,2834.757835,2866.538617,7.87
2007,2958.025097,2941.323294,6.01
2008,3032.137836,3045.439686,10.79
2009,2947.79263,2952.762996,4.85
2010,3175.912422,3169.316116,6.56
2011,3241.044868,3269.017768,9.04
2012,3327.053388,3337.132959,9.46
2013,3371.494785,3376.188647,10.64
2014,3398.684723,3446.864552,8.25
2015,3474.188349,3519.428561,6.53
2016,3574.182987,3549.817407,4.69
2017,3670.396587,3680.377622,5.80
