Company Name,Station Name,Fuel,Installed,Year of Location
"",,,Capacity,"commission or Scotland, Wales"
"",,,(MW),"year generation Northern Ireland,"
"",,,,began or English region
A7 Energy (2),Greendykeside,wind,4,2007 Scotland
"",Lochhead,wind,6,2009 Scotland
AES,Ballylumford C,CCGT,616,2003 Northern Ireland
"",Kilroot,coal/oil,520,1981 Northern Ireland
"",Ballylumford B,gas,540,1968 Northern Ireland
"",Ballylumford B OCGT,gas oil,116,1968 Northern Ireland
"",Kilroot OCGT,gas oil,142,1981 Northern Ireland
Baglan Generation Ltd,Baglan Bay,CCGT,510,2002 Wales
Barking Power (3),Barking,CCGT,1000,1994 London
Beaufort Wind Ltd (4),Bears Down,wind,10,2001 South West
"",Bein Ghlas,wind,8,1999 Scotland
"",Bryn Titli,wind,10,1994 Wales
"",Carno,wind,34,1996 Wales
"",Farr,wind,92,2006 Scotland
"",Ffynnon Oer,wind,32,2006 Wales
"",Kirkby Moor,wind,5,1993 North West
"",Lambrigg,wind,7,2000 North West
"",Llyn Alaw,wind,20,1997 Wales
"",Mynydd Gorddu,wind,10,1996 Wales
"",Novar,wind,17,1997 Scotland
"",Taff Ely,wind,9,1993 Wales
"",Tow Law,wind,2,2001 North East
"",Trysglwyn,wind,6,1996 Wales
"",Windy Standard,wind,22,1996 Scotland
"",Causeymire,wind,48,2004 Scotland
"",North Hoyle,wind (offshore),60,2003 Wales
BIIF LP,Black Hill,wind,29,2006 Scotland
"",Wadlow,wind,26,2012 England
Braes of Doune Windfarm (5),Braes of Doune,wind,72,2007 Scotland
British Energy (6),Dungeness B,nuclear,1040,1983 South East
"",Hartlepool,nuclear,1180,1984 North East
"",Heysham 1,nuclear,1155,1984 North West
"",Heysham 2,nuclear,1220,1988 North West
"",Hinkley Point B,nuclear,945,1976 South West
"",Hunterston B,nuclear,960,1976 Scotland
"",Sizewell B,nuclear,1198,1995 East
"",Torness,nuclear,1185,1988 Scotland
Cemmaes Windfarm Ltd (7),Cemmaes,wind,15,2002 (8) Wales
Centrica,Barry (9),CCGT,140,1998 Wales
"",Glanford Brigg (9),CCGT,150,1993 Yorkshire and the Humber
