"",,Installed Year of commission Location,,
"Scotland, Wales, Company Name Station Name",Fuel,Capacity or year generation Northern Ireland or (MW) began English region,,
AES Ballylumford C,CCGT,616 2003 Northern Ireland,,
Kilroot,Coal / oil,540 1981 Northern Ireland,,
Ballylumford B,Gas,540 1968 Northern Ireland,,
Ballylumford B OCGT,Gas oil,116 1968 Northern Ireland,,
Kilroot OCGT,Gas oil,142 1981 Northern Ireland,,
Beaufort Wind Ltd Carno,Wind,34 1996 Wales,,(2)
Braes of Doune Windfarm Braes of Doune,Wind,72 2007 Scotland,,(3)
British Energy Dungeness B,Nuclear,"1,050 1983 South East",,(4)
Hartlepool,Nuclear,"1,180 1984 North East",,(4)
Heysham 1,Nuclear,"1,155 1984 North West",,(4)
Heysham 2,Nuclear,"1,230 1988 North West",,(4)
Hinkley Point B,Nuclear,955 1976 South West,,(4)
Hunterston B,Nuclear,965 1976 Scotland,,(4)
Sizewell B,Nuclear,"1,198 1995 East",,(4)
Torness,Nuclear,"1,185 1988 Scotland",,(4)
British Solar Renewables Bradenstoke Solar Park,Solar,70 2015 South West,,
Owl's Hatch Solar Park,Solar,52 2015 South East,,
Calon Energy Severn Power,CCGT,850 2010 Wales,,
Baglan Bay CCGT,CCGT,520 2002 Wales,,
Baglan Bay OCGT,OCGT,32 2002 Wales,,
Sutton Bridge,CCGT,819 1999 East,,
Centrica Barry,CCGT,235 1998 Wales,,(5)
Glanford Brigg,CCGT,150 1993 Yorkshire and the Humber,,(5)
Killingholme,CCGT,0 1994 Yorkshire and the Humber,,
Langage,CCGT,905 2010 South West,,
Peterborough,CCGT,240 1993 East,,(5)
South Humber Bank,CCGT,"1,310 1996 Yorkshire and the Humber",,
Inner Dowsing,Wind (offshore),97 2009 East Midlands,,
Lynn,Wind (offshore),97 2009 East Midlands,,
Coolkeeragh ESB Ltd Coolkeeragh,CCGT,408 2005 Northern Ireland,,
Coolkeeragh OCGT,Gas oil,53 2005 Northern Ireland,,
Corby Power Ltd Corby,CCGT,401 1993 East Midlands,,
Cubico Sustainable Investments Limited Broxted,Solar,32 2015 East,,
Dong Energy Barrow,Wind (offshore),90 2006 North West,,(6)
Burbo Bank,Wind (offshore),90 2009 North West,,
Gunfleet Sands 1,Wind (offshore),108 2010 South East,,
Gunfleet Sands 2,Wind (offshore),65 2010 South East,,
Lincs,Wind (offshore),270 2012 East,,(6b)
Walney 1,Wind (offshore),184 2011 North West,,(7)
Walney 2,Wind (offshore),184 2011 North West,,(7)
West of Duddon Sands,Wind (offshore),389 2014 North West,,
Westermost Rough,Wind (offshore),210 2015 South East,,
Drax Power Ltd Drax - coal units,Coal,"1,980 1974 Yorkshire and the Humber",,
Drax - biomass units,Biomass,"1,980 1974 Yorkshire and the Humber",,
Drax GT,Gas oil,75 1971 Yorkshire and the Humber,,
E.On UK Steven's Croft,Biomass,50 2007 Scotland,,
Blackburn Meadows,Biomass,33 2015 Yorkshire and the Humber,,
Castleford,CCGT,56 2002 Yorkshire and the Humber,,
Connahs Quay,CCGT,"1,380 1996 Wales",,
Cottam Development Centre,CCGT,395 1999 East Midlands,,
Enfield,CCGT,408 1999 London,,
Grain CHP *,CCGT,"1,365 2010 South East",,
Killingholme,CCGT,900 1993 Yorkshire and the Humber,,
Sandbach,CCGT,56 1999 North West,,
Thornhill,CCGT,50 1998 Yorkshire and the Humber,,
Ratcliffe,Coal,"2,000 1968 East Midlands",,
Grain GT,Gas oil,55 1978 South East,,
Ratcliffe GT,Gas oil,34 1966 East Midlands,,
Taylor's Lane GT,Gas oil,144 1979 London,,
Camster,Wind,50 2012 Scotland,,
Tween Bridge,Wind,44 2012 North East,,
Humber Gateway,Wind (offshore),219 2015 North East,,
Robin Rigg East,Wind (offshore),90 2010 Scotland,,
Robin Rigg West,Wind (offshore),90 2010 Scotland,,
Scroby Sands,Wind (offshore),60 2004 East,,
"",,Installed Year of commission Location,,
"Scotland, Wales, Company Name Station Name",Fuel,Capacity or year generation Northern Ireland or (MW) began English region,,
EDF Energy West Burton CCGT,CCGT,"1,332 2012 East Midlands",,
Cottam,Coal,"2,008 1969 East Midlands",,
West Burton,Coal,"2,012 1967 East Midlands",,
Barkantine Heat & Power Company *,Gas,1 2000 London,,
London Heat & Power Company *,Gas,9 2000 London,,
West Burton GT,Gas oil,40 1967 East Midlands,,
EDF Energy Renewables Burnfoot Hill,Wind,30 2010 Scotland,,
Fallago Rig,Wind,144 2013 Scotland,,
Green Rigg,Wind,36 2012 North East,,
Longpark,Wind,38 2009 Scotland,,
Teesside,Wind (offshore),62 2014 North East,,
Eggborough Power Ltd Eggborough,Coal,"1,960 1967 Yorkshire and the Humber",,
Eneco Wind UK Limited Lochluichart,Wind,69 2014 Scotland,,
ENGIE Deeside,CCGT,515 1994 Wales,,
Saltend,CCGT,"1,200 2000 Yorkshire and the Humber",,
Rugeley,Coal,"1,006 1972 West Midlands",,
Rugeley GT,Gas oil,50 1972 West Midlands,,
Indian Queens,Gas oil / kerosene,140 1996 South West,,
Dinorwig,Pumped storage,"1,728 1983 Wales",,
Ffestiniog,Pumped storage,360 1961 Wales,,
EPR Ely Limited Elean,Straw,38 2001 East,,
Eye Suffolk,Biomass,13 1992 East,,
EPR Glanford Ltd Glanford,Meat & bone meal,13 1993 East,,
EPR Scotland Ltd Westfield,Biomass,12 2000 Scotland,,
EPR Thetford Ltd Thetford,Biomass,39 1998 East,,
Falck Renewables Wind Ltd Cefn Croes,Wind,59 2006 Wales,,
Earlsburn,Wind,38 2007 Scotland,,
Kilbraur,Wind,68 2008 Scotland,,
Millennium,Wind,65 2008 Scotland,,
West Browncastle,Wind,30 2014 Scotland,,
Ferrybridge MFE Limited Ferrybridge Multi-fuel,Biomass,79 2015 Yorkshire and the Humber,,
Fred Olsen Crystal Rig,Wind,63 2003 Scotland,,
Crystal Rig 2,Wind,138 2010 Scotland,,
Mid Hill,Wind,76 2014 Scotland,,
Paul's Hill,Wind,64 2005 Scotland,,
Rothes,Wind,51 2004 Scotland,,
Rothes 2,Wind,41 2013 Scotland,,
Infinis Dalswinton,Wind,30 2008 Scotland,,
Lissett,Wind,30 2007 Yorkshire and the Humber,,
Minsca,Wind,37 2008 Scotland,,
Slieve Divena,Wind,30 2009 N Ireland,,
Intergen Coryton,CCGT,800 2001 East,,
Rocksavage,CCGT,810 1998 North West,,
Spalding,CCGT,880 2004 East Midlands,,
Lightsource Ermine,Solar,32 2015 East Midlands,,
Melborn Muncey,Solar,31 2015 East,,
London Array Ltd London Array,Wind (offshore),630 2012 South East,,(8)
Londonwaste Limited Edmonton,Waste,60 1970 South East,,
Magnox Ltd Maentwrog,Hydro,35 1928 Wales,,(9)
Marchwood Power Limited Marchwood,CCGT,898 2009 South West,,(10)
MEAG Scout Moor,Wind,65 2009 North West,,(7) (11)
Px Limited Fellside CHP *,Gas,180 1995 North West,,(12)
Riverside Resource Recovery Limited Belvedere,Waste,80 2011 South East,,
"",,Installed Year of commission Location,,
"Scotland, Wales, Company Name Station Name",Fuel,Capacity or year generation Northern Ireland or (MW) began English region,,
RWE Generation UK Plc Didcot B,CCGT,"1,470 1998 South East",,
