,,Landfill gas ,,,Sewage gas ,,,Geothermal CHP ,,,Hydro Large Store ,,
Reference plant size ,MW ,2,,,3,,,3,,,11,,
Average load factor (net of availability) ,% ,58%,,,46%,,,90%,,,45%,,
Efficiency (LHV) ,% ,100%,,,100%,,,100%,,,100%,,
Pre-development period ,Duration and % spend per years 1 & 2 ,1 years ,100%,,1 years ,100%,,1 years ,100%,,0 years ,70%,30%
,"% spend per years 3, 4, & 5 ",,,,,,,,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Construction period ,Duration and % spend per years 1 & 2 ,0 years ,100%,,2 years ,56%,44%,3 years ,33.30%,33.30%,2 years ,70%,30%
,"% spend per years 3, 4, & 5 ",,,,,,,33.30%,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Operating period ,Duration ,27.8571428571429 years ,,,20 years ,,,25 years ,,,41 years ,,
,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,
,,2018,2020,2025,2018,2020,2025,2018,2020,2025,2018,2020,2025
Pre-development £/kW ,High ,60,60,60,420,420,420,130,130,130,- ,- ,- 
,Medium ,40,40,40,420,420,420,110,110,110,60,60,60
,Low ,20,20,20,410,410,410,80,80,80,- ,- ,- 
Construction £/kW ,High ,"3,600","3,600","3,600","7,000","7,000","7,000","9,400","9,300","9,100",- ,- ,- 
,Medium ,"2,200","2,200","2,200","5,100","5,100","5,100","6,900","6,800","6,700","3,200","3,200","3,200"
,Low ,800,800,800,"1,800","1,800","1,800","3,000","3,000","2,900",- ,- ,- 
Infrastructure £'000s ,High ,"1,000","1,000","1,000",200,200,200,500,500,500,- ,- ,- 
,Medium ,700,700,700,200,200,200,300,300,300,- ,- ,- 
,Low ,500,500,500,100,100,100,200,200,200,- ,- ,- 
Fixed O&M £/MW/year ,Medium ,"81,000","81,000","81,000","48,600","48,600","48,600","81,000","81,000","81,000","25,700","25,700","25,700"
Variable O&M £/MWh ,Medium ,9,9,9,12,12,12,12,12,12,6,6,6
Insurance £/MWh/year ,Medium ,"1,600","1,600","1,600","36,600","36,600","36,600","1,600","1,600","1,600","1,000","1,000","1,000"
Connection and Use of System charges £/MW/year ,Medium ,"6,500","6,500","6,500","12,900","12,900","12,900","12,900","12,900","12,900","7,600","7,600","7,600"
