,,Coal - CCS ASC Oxy FOAK ,,,Coal - CCS ASC NH3 FOAK ,,,Coal - CCS IGCC FOAK ,,,Coal - CCS IGCC partial FOAK ,,
Reference plant size ,MW ,552,,,624,,,652,,,760,,
Average load factor (net of availability) ,% ,91%,,,91%,,,88%,,,88%,,
Efficiency (HHV) ,% ,32%,,,32%,,,30%,,,35%,,
Pre-development period ,Duration and % spend per years 1 & 2 ,6 years ,16.70%,16.70%,5 years ,20%,20%,5 years ,20%,20%,5 years ,20%,20%
,"% spend per years 3, 4, & 5 ",16.70%,16.70%,16.70%,20%,20%,20%,20%,20%,20%,20%,20%,20%
,"% spend per years 6, 7, & 8 ",16.70%,,,,,,,,,,,
Construction period ,Duration and % spend per years 1 & 2 ,6 years ,18.20%,18.20%,5 years ,20%,20%,5 years ,20%,20%,5 years ,20%,20%
,"% spend per years 3, 4, & 5 ",18.20%,18.20%,18.20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
,"% spend per years 6, 7, & 8 ",9.10%,,,,,,,,,,,
Operating period ,Duration ,25 years ,,,25 years ,,,25 years ,,,25 years ,,
,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,
,,2018,2020,2025,2018,2020,2025,2018,2020,2025,2018,2020,2025
Pre-development £/kW ,High ,- ,- ,80,- ,- ,110,- ,- ,80,- ,- ,60
,Medium ,- ,- ,40,- ,- ,70,- ,- ,60,- ,- ,40
,Low ,- ,- ,30,- ,- ,60,- ,- ,50,- ,- ,40
Construction £/kW ,High ,- ,- ,"4,400",- ,- ,"5,500",- ,- ,"5,000",- ,- ,"3,600"
,Medium ,- ,- ,"3,400",- ,- ,"4,200",- ,- ,"3,900",- ,- ,"2,800"
,Low ,- ,- ,"2,900",- ,- ,"3,400",- ,- ,"3,300",- ,- ,"2,400"
Infrastructure £'000s ,High ,- ,- ,"15,000",- ,- ,"15,000",- ,- ,"15,000",- ,- ,"15,000"
,Medium ,- ,- ,"10,000",- ,- ,"10,000",- ,- ,"10,000",- ,- ,"10,000"
,Low ,- ,- ,"5,000",- ,- ,"5,000",- ,- ,"5,000",- ,- ,"5,000"
Fixed O&M £/MW/year ,Medium ,- ,- ,"68,200",- ,- ,"79,600",- ,- ,"65,300",- ,- ,"52,100"
Variable O&M £/MWh ,Medium ,- ,- ,6,- ,- ,3,- ,- ,5,- ,- ,5
Insurance £/MWh/year ,Medium ,- ,- ,"13,000",- ,- ,"19,300",- ,- ,"22,700",- ,- ,"14,000"
Connection and Use of System charges £/MW/year ,Medium ,- ,- ,"3,800",- ,- ,"3,800",- ,- ,"3,800",- ,- ,"3,800"
