,,Recip Gas 2000 hr ,,,RECIP GAS 500 hrs ,,,Nuclear - PWR FOAK ,,,Pumped storage ,,
Reference plant size ,MW ,20,,,20,,,"3,300",,,600,,
Average load factor (net of availability) ,% ,22%,,,5%,,,90%,,,21%,,
Efficiency (HHV) ,% ,32%,,,32%,,,100%,,,77%,,
Pre-development period ,Duration and % spend per years 1 & 2 ,2 years ,50%,50%,2 years ,50%,50%,5 years ,20%,20%,5 years ,20%,20%
,"% spend per years 3, 4, & 5 ",,,,,,,20%,20%,20%,20%,20%,20%
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Construction period ,Duration and % spend per years 1 & 2 ,1 years ,100%,,1 years ,100%,,8 years ,5%,5%,5 years ,22.20%,22.20%
,"% spend per years 3, 4, & 5 ",,,,,,,20%,20%,20%,22.20%,22.20%,11.10%
,"% spend per years 6, 7, & 8 ",,,,,,,20%,5%,5%,,,
Operating period ,Duration ,15 years ,,,15 years ,,,60 years ,,,50 years ,,
,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,
,,2018,2020,2025,2018,2020,2025,2018,2020,2025,2018,2020,2025
Pre-development £/kW ,High ,20,20,20,20,20,20,- ,- ,640,50,50,50
,Medium ,10,10,10,10,10,10,- ,- ,240,40,40,40
,Low ,10,10,10,10,10,10,- ,- ,110,30,30,30
Construction £/kW ,High ,300,300,300,300,300,300,- ,- ,"5,100","1,500","1,500","1,600"
,Medium ,300,300,300,300,300,300,- ,- ,"4,100","1,000","1,000","1,000"
,Low ,300,300,300,300,300,300,- ,- ,"3,700",700,700,700
Infrastructure £'000s ,High ,"10,300","10,300","10,300","10,300","10,300","10,300",- ,- ,"50,000","50,000","50,000","50,000"
,Medium ,"3,400","3,400","3,400","3,400","3,400","3,400",- ,- ,"11,500","25,000","25,000","25,000"
,Low ,700,700,700,700,700,700,- ,- ,- ,"10,000","10,000","10,000"
Fixed O&M £/MW/year ,Medium ,"10,000","10,000","10,000","10,000","10,000","10,000",- ,- ,"72,900","11,200","11,200","11,200"
Variable O&M £/MWh ,Medium ,2,2,2,2,2,2,- ,- ,5,42,42,42
Insurance £/MWh/year ,Medium ,"1,000","1,000","1,000","1,000","1,000","1,000",- ,- ,"10,000","4,100","4,100","4,100"
Connection and Use of System charges £/MW/year ,Medium ,"-31,900","-31,900","-31,900","-28,500","-28,500","-28,500",- ,- ,500,"15,800","15,800","15,800"
