EntityId,Chart Label,Technology,Technology Subtype,Year,Official Program Number,Calculated LCOE,,Overnight Capital Cost dollar per kW including Contingency,Contingency Factor,Overnight Capital Cost dollar per kW,"Final Capital Cost, $/kW",Discount Rate,Lifetime Years,Final Lifetime in Years,Capital Recovery Factor,Tax Rate,Present Value of Depreciation,Average Capacity Factor,Max Capacity Factor,Final Capacity Factor,LCOE Capital Cost Term,O M All-Inclusive,Fixed O M dollar per kW,Variable O M dollar per MWh,Calculated OM All Inclusive Cost Term ($/kW),Calculated Fixed OM Term ($/kW),Calculated Variable OM Term ($/kW),LCOE OM Term,Fuel,Fuel Cost,Heat Rate,LCOD Fuel Cost Term,,Reference Name,Publication Year,Report Author(s),Dataset name,Dataset web source
EntityId,TechIndex,Technology,TechnologySubtype,Year,IsOfficial,lcoe,Blank,OnghCptCstDlKwInclCtng,ContingencyFactor,OnghtCptlCostDolPerKw,FinalCptlCostDolPerKw,DiscountRate,LifetimeYears,FinalLifetimeYears,CapitalRecoveryFactor,TaxRate,PvOfDepreciation,AvgCapacityFactor,MaxCapacityFactor,FinalCapacityFactor,TermCapitalCost,OMAllInclusive,FixedOMDolPerKw,VariableOMDolPerMwh,OfficialOMAllInclusive,OfficialFixedOMDolPerKw,OfficialVariableOMDolPerMwh,TermOMCost,Fuel,FuelCost,HeatRate,TermFuelCost,Blank,ShortName,PublicationYear,Author,Title,PublicationUrl
Unique identifier for this data record.,Displayed label for the technology and sub-technology.,General type of technology used to generate electricity.,Technology Subtype.,Year.,Official Program Number.,"Levelized cost of energy, an estimate of total electricity cost including payback of initial investment and operating costs. Also the price a plant must sell electricity at in order to break even.",,Overnight Capital Cost dollar per kW including Contingency.,Contingency Factor.,"Initial cost of a generation technology per kilowatt of capacity, if it could be conducted overnight.","Final Capital Cost, $/kW.","Discount Rate is the assumed effective rate at which future income streams are discounted. Used to compute the capital recovery factor. In Normalized mode, a single discount rate is used. In Market and User modes, the discount rate can be different for each technology.",Lifetime Years.,Lifetime of the Investment. It is the assumed lifetime of a new plant/vehicle and the period over which the investment is computed (unless specified otherwise).,(CRF) A common element in the levelized cost calculations is capital expenditures. The capital expenditure is turned into annual payments with a Capital Recovery Factor (CRF) that is defined using a common calculation.,Tax rate paid (applied after depreciation credits).,"The present value of depreciation, depending on the MACRS schedule (Modified Accelerated Cost Recovery System).",The ratio between average power and peak capacity. A plant running at full capacity for exactly half the year would have a 0.5 capacity factor.,Max Capacity Factor.,Final Capacity Factor.,Capital Cost term calculated in the LCOE equation,O M All-Inclusive.,Maintenance costs for generation paid regardless of the total amount generated.,Maintenance costs for generation paid per unit of energy produced.,"Term calculated using the OM All Inclusive Cost - when used, this replaces the fixed and variable O&M costs ($/kW).",Term calculated using the Fixed OM ($/kW).,Term calculated using the Variable OM ($/kW).,Calculated term for all costs associated with OM (Operations and Maintenance).,Fuel.,Fuel Cost.,Heat Rate.,,,Reference Name.,Publication Year.,Report Author.,Dataset name.,Dataset web source.
g29950,Onshore,Land-Based Wind,,2008,,0.051,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.378,,0.378,0.042371929,,10.95,5.78,,18,6,0.009086878,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30001,Onshore,Land-Based Wind,,2008,,0.047,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.41843693,,0.41843693,0.038277188,,10.95,5.78,,18,6,0.008767308,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30052,Onshore,Land-Based Wind,,2008,,0.044,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.452,,0.452,0.035434932,,10.95,5.78,,18,6,0.008545487,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30103,Onshore,Land-Based Wind,,2008,,0.041,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.488,,0.488,0.03282088,,10.95,5.78,,18,6,0.008341475,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29898,Onshore,Land-Based Wind,,2007,,0.058,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.332,,0.332,0.048242739,,10.95,6.08,,18,6,0.00984506,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29949,Onshore,Land-Based Wind,,2007,,0.052,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.372,,0.372,0.043055347,,10.95,6.08,,18,6,0.009440215,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30000,Onshore,Land-Based Wind,,2007,,0.048,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.412655396,,0.412655396,0.038813473,,10.95,6.08,,18,6,0.009109162,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30051,Onshore,Land-Based Wind,,2007,,0.045,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.448,,0.448,0.035751315,,10.95,6.08,,18,6,0.008870179,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30102,Onshore,Land-Based Wind,,2007,,0.042,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.482,,0.482,0.033229438,,10.95,6.08,,18,6,0.008673361,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29897,Onshore,Land-Based Wind,,2006,,0.059,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.326,,0.326,0.049130642,,10.95,6.37,,18,6,0.010204356,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29948,Onshore,Land-Based Wind,,2006,,0.054,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.366,,0.366,0.043761173,,10.95,6.37,,18,6,0.009785301,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29999,Onshore,Land-Based Wind,,2006,,0.049,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.406873861,,0.406873861,0.039364999,,10.95,6.37,,18,6,0.009442205,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30050,Onshore,Land-Based Wind,,2006,,0.045,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.444,,0.444,0.036073399,,10.95,6.37,,18,6,0.009185315,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30101,Onshore,Land-Based Wind,,2006,,0.043,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.476,,0.476,0.033648297,,10.95,6.37,,18,6,0.00899605,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29891,Onshore,Land-Based Wind,,2000,,0.1,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.185,,0.185,0.086576158,,10.95,6.66,,18,6,0.013416757,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29942,Onshore,Land-Based Wind,,2000,,0.1,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.185,,0.185,0.086576158,,10.95,6.66,,18,6,0.013416757,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29993,Onshore,Land-Based Wind,,2000,,0.1,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.185,,0.185,0.086576158,,10.95,6.66,,18,6,0.013416757,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30044,Onshore,Land-Based Wind,,2000,,0.1,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.185,,0.185,0.086576158,,10.95,6.66,,18,6,0.013416757,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30095,Onshore,Land-Based Wind,,2000,,0.1,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.185,,0.185,0.086576158,,10.95,6.66,,18,6,0.013416757,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29892,Onshore,Land-Based Wind,,2001,,0.088,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.212,,0.212,0.075549949,,10.95,6.66,,18,6,0.012556226,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29943,Onshore,Land-Based Wind,,2001,,0.085,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.22,,0.22,0.072802678,,10.95,6.66,,18,6,0.012341818,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29994,Onshore,Land-Based Wind,,2001,,0.082,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.228218465,,0.228218465,0.070180952,,10.95,6.66,,18,6,0.012137208,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30045,Onshore,Land-Based Wind,,2001,,0.08,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.236,,0.236,0.067866903,,10.95,6.66,,18,6,0.01195661,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29893,Onshore,Land-Based Wind,,2002,,0.079,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.239,,0.239,0.067015018,,10.95,6.66,,18,6,0.011890126,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30096,Onshore,Land-Based Wind,,2001,,0.078,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.242,,0.242,0.066184253,,10.95,6.66,,18,6,0.011825289,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29944,Onshore,Land-Based Wind,,2002,,0.074,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.255,,0.255,0.062810154,,10.95,6.66,,18,6,0.011561961,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29894,Onshore,Land-Based Wind,,2003,,0.072,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.266,,0.266,0.060212741,,10.95,6.66,,18,6,0.011359248,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29995,Onshore,Land-Based Wind,,2002,,0.07,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.27143693,,0.27143693,0.059006669,,10.95,6.66,,18,6,0.011265121,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30046,Onshore,Land-Based Wind,,2002,,0.067,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.287,,0.287,0.055806931,,10.95,6.66,,18,6,0.011015401,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29945,Onshore,Land-Based Wind,,2003,,0.066,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.29,,0.29,0.055229618,,10.95,6.66,,18,6,0.010970345,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29895,Onshore,Land-Based Wind,,2004,,0.066,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.293,,0.293,0.054664127,,10.95,6.66,,18,6,0.010926212,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30097,Onshore,Land-Based Wind,,2002,,0.064,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.299,,0.299,0.053567188,,10.95,6.66,,18,6,0.010840602,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29996,Onshore,Land-Based Wind,,2003,,0.062,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.314655396,,0.314655396,0.050902001,,10.95,6.66,,18,6,0.0106326,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29896,Onshore,Land-Based Wind,,2005,,0.061,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.32,,0.32,0.050051841,,10.95,6.66,,18,6,0.01056625,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29946,Onshore,Land-Based Wind,,2004,,0.06,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.325,,0.325,0.049281813,,10.95,6.66,,18,6,0.010506154,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30047,Onshore,Land-Based Wind,,2003,,0.058,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.338,,0.338,0.047386359,,10.95,6.66,,18,6,0.010358225,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30098,Onshore,Land-Based Wind,,2003,,0.055,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.356,,0.356,0.044990419,,10.95,6.66,,18,6,0.010171236,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29997,Onshore,Land-Based Wind,,2004,,0.055,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.357873861,,0.357873861,0.044754845,,10.95,6.66,,18,6,0.010152851,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29947,Onshore,Land-Based Wind,,2005,,0.055,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.36,,0.36,0.044490526,,10.95,6.66,,18,6,0.010132222,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30048,Onshore,Land-Based Wind,,2004,,0.051,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.389,,0.389,0.041173751,,10.95,6.66,,18,6,0.009873368,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29998,Onshore,Land-Based Wind,,2005,,0.05,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.401092326,,0.401092326,0.039932425,,10.95,6.66,,18,6,0.009776489,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30099,Onshore,Land-Based Wind,,2004,,0.048,,,1,1570.49,1570.49,0.07,20,30,0.080586404,0.392,0.83155,0.413,,0.413,0.038781088,,10.95,6.66,,18,6,0.009686634,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
