,,PV 1-5MW building ,,,EfW ,,,EfW CHP ,,,AD ,,
Reference plant size ,MW ,1,,,30,,,24,,,2,,
Average load factor (net of availability) ,% ,11%,,,81%,,,81%,,,79%,,
Efficiency (LHV) ,% ,0%,,,28%,,,22%,,,40%,,
Pre-development period ,Duration and % spend per years 1 & 2 ,1 years ,100%,,4 years ,22.80%,22.80%,4 years ,22.80%,22.80%,2 years ,66.70%,33.30%
,"% spend per years 3, 4, & 5 ",,,,22.80%,22.80%,9%,22.80%,22.80%,9%,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Construction period ,Duration and % spend per years 1 & 2 ,0 years ,100%,,3 years ,33.30%,33.30%,3 years ,33.30%,33.30%,1 years ,100%,
,"% spend per years 3, 4, & 5 ",,,,33.30%,,,33.30%,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Operating period ,Duration ,25 years ,,,35 years ,,,35 years ,,,20 years ,,
,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,
,,2018,2020,2025,2018,2020,2025,2018,2020,2025,2018,2020,2025
Pre-development £/kW ,High ,20,20,20,390,390,390,300,300,300,440,440,440
,Medium ,20,20,20,230,230,230,210,210,210,340,340,340
,Low ,20,20,20,110,110,110,130,130,130,260,260,260
Construction £/kW ,High ,800,800,700,"12,500","12,400","12,200","15,900","15,800","15,600","4,900","4,900","4,900"
,Medium ,700,700,600,"8,200","8,100","8,000","13,300","13,200","13,000","3,700","3,700","3,700"
,Low ,700,600,600,"4,600","4,600","4,500","10,300","10,300","10,100","2,900","2,900","2,900"
Infrastructure £'000s ,High ,- ,- ,- ,"6,600","6,600","6,600","8,500","8,500","8,500","1,000","1,000","1,000"
,Medium ,- ,- ,- ,"4,600","4,600","4,600","5,900","5,900","5,900",700,700,700
,Low ,- ,- ,- ,"2,500","2,500","2,500","3,000","3,000","3,000",500,500,500
Fixed O&M £/MW/year ,Medium ,"6,600","6,300","5,900","139,500","137,900","134,800","153,000","151,300","147,900","78,100","78,100","78,100"
Variable O&M £/MWh ,Medium ,3,3,3,25,25,24,55,55,53,81,81,81
Insurance £/MWh/year ,Medium ,"2,600","2,600","2,400","30,500","30,100","29,500","85,200","84,300","82,400","54,200","54,200","54,200"
Connection and Use of System charges £/MW/year ,Medium ,"1,300","1,300","1,200","16,700","16,500","16,100","16,700","16,500","16,100","12,900","12,900","12,900"
