,Plant_Type,Connect_system_cost-Medium _2016,Connect_system_cost-Medium _2017,Connect_system_cost-Medium _2020,Constr_cost-High _2016,Constr_cost-High _2017,Constr_cost-High _2020,Constr_cost-Low _2016,Constr_cost-Low _2017,Constr_cost-Low _2020,Constr_cost-Medium _2016,Constr_cost-Medium _2017,Constr_cost-Medium _2020,Fixed_cost-Medium _2016,Fixed_cost-Medium _2017,Fixed_cost-Medium _2020,Insurance_cost-Medium _2016,Insurance_cost-Medium _2017,Insurance_cost-Medium _2020,Pre_dev_cost-High _2016,Pre_dev_cost-High _2017,Pre_dev_cost-High _2020,Pre_dev_cost-Low _2016,Pre_dev_cost-Low _2017,Pre_dev_cost-Low _2020,Pre_dev_cost-Medium _2016,Pre_dev_cost-Medium _2017,Pre_dev_cost-Medium _2020,Var_cost-Medium _2016,Var_cost-Medium _2017,Var_cost-Medium _2020
,Gas - CCGT,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,OCGT,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Gas - CCGT with post combustion CCS (FOAK),6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Coal - IGCC with CCS (FOAK),6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Coal - ASC with oxy combustion CCS - FOAK,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Nuclear - FOAK,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,CCGT CHP,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Co-firing Standard CHP,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,ACT Advanced,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,ACT standard,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
